Student ID,Age,Grade,School,Q1,Q1_Response Time Score,Q2,Q2_Response Time Score,Q3,Q3_Response Time Score,Q4,Q4_Response Time Score,Q5,Q5_Response Time Score,Q6,Q6_Response Time Score,Q7,Q7_Response Time Score,Q8,Q8_Response Time Score,Q9,Q9_Response Time Score,Q10,Q10_Response Time Score,Q11,Q11_Response Time Score,Q12,Q12_Response Time Score,Q13,Q13_Response Time Score,Q14,Q14_Response Time Score,Q15,Q15_Response Time Score,Q16,Q16_Response Time Score,Q17,Q17_Response Time Score,Q18,Q18_Response Time Score,Q19,Q19_Response Time Score,Q20,Q20_Response Time Score,Q21,Q21_Response Time Score,Q22,Q22_Response Time Score,Q23,Q23_Response Time Score,Q24,Q24_Response Time Score,Q1_Time,Q1_Time by Grade,Q2_Time,Q2_Time by Grade,Q3_Time,Q3_Time by Grade,Q4_Time,Q4_Time by Grade,Q5_Time,Q5_Time by Grade,Q6_Time,Q6_Time by Grade,Q7_Time,Q7_Time by Grade,Q8_Time,Q8_Time by Grade,Q9_Time,Q9_Time by Grade,Q10_Time,Q10_Time by Grade,Q11_Time,Q11_Time by Grade,Q12_Time,Q12_Time by Grade,Q13_Time,Q13_Time by Grade,Q14_Time,Q14_Time by Grade,Q15_Time,Q15_Time by Grade,Q16_Time,Q16_Time by Grade,Q17_Time,Q17_Time by Grade,Q18_Time,Q18_Time by Grade,Q19_Time,Q19_Time by Grade,Q20_Time,Q20_Time by Grade,Q21_Time,Q21_Time by Grade,Q22_Time,Q22_Time by Grade,Q23_Time,Q23_Time by Grade,Q24_Time,Q24_Time by Grade,How much did the student enjoy the activity,How is the student feeling,Total Score,Was your child's birth weight considered very low (3 pounds or less)?,Was your child born prematurely (before 37 weeks)?,Any birth complications or known birth defects?,Is there a family history (parent/sibling) of significant difficulty with mathematics or diagnosed dyscalculia?,Do you think your child particularly struggles in mathematics?,"Performance in Math
(original grades)","Performance in Math
(derived grades)","Performance in Other Subjects
(original grades)","Performance in Other Subjects
(derived grades)",Do you think the child struggles specifically in Math?
_ anaya-3,,3,NEWLANDS,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,1,0,1,-1,0,0,0,0,1,0,0,-1,0,0,1,0,1,0,0,0,1,-1,0,0,1,0,1,0,1,0,16.66,Average,9.33,Slightly Below Avg,11.93,Slightly Above Avg,7.61,Average,11.57,Average,12.2,Slightly Above Avg,7.31,Average,6.37,Average,10.53,Way Above Avg,6.97,Average,15.49,Way Above Avg,32.17,Average,16.58,Average,18.9,Average,57.67,Way Above Avg,20.07,Slightly Above Avg,22.1,Average,10.01,Average,24.54,Average,59.06,Way Above Avg,19.1,Average,7.48,Average,8.76,Average,22.22,Average,1,1,14,,,,,,,,,,
_abdullah hassan-2,,2,NEWLANDS,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.5,0,1,0,1,0,1,0,1,-1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10.14,Way Below Avg,29.16,Average,12.29,Slightly Above Avg,9.95,Average,9.34,Average,8.28,Average,8.1,Average,8.36,Average,6.94,Average,7.4,Average,10.17,Slightly Above Avg,45.7,Average,29.21,Average,19.19,Average,40.33,Slightly Above Avg,46.05,Way Above Avg,28.1,Average,23.69,Slightly Above Avg,22.9,Average,37.22,Slightly Above Avg,39.58,Average,16.15,Average,12.88,Slightly Above Avg,58.79,Slightly Above Avg,1,1,21.5,,,,,,,,,,
3-Jan,,3,NEWLANDS,1,0,1,0,1,0,1,-1,0,-1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0.5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,8.94,Slightly Below Avg,11.9,Average,12.62,Slightly Above Avg,13.98,Way Above Avg,35.94,Way Above Avg,12.36,Slightly Above Avg,5.76,Average,5.57,Average,7.2,Slightly Above Avg,6.31,Average,5.51,Average,14.79,Slightly Below Avg,20.06,Average,14.18,Average,25.16,Average,17.09,Average,18.98,Average,15.08,Average,15.62,Average,14.79,Slightly Below Avg,15.98,Slightly Below Avg,8.65,Average,9.7,Average,25.26,Average,1,1,16.5,,,,,,,,,,
1016,8,2,AL-BAYAN,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,74.41,Slightly Above Avg,37.94,Slightly Above Avg,10.18,Average,11.03,Slightly Above Avg,26.45,Slightly Above Avg,8.06,Average,15.41,Slightly Above Avg,11.42,Slightly Above Avg,8.81,Slightly Above Avg,12.78,Average,14.89,Slightly Above Avg,9.11,Way Below Avg,10.7,Slightly Below Avg,38.82,Average,17.36,Average,13.16,Average,10.62,Slightly Below Avg,7.52,Slightly Below Avg,26.05,Average,27.03,Average,28.22,Average,11.89,Average,11.1,Average,41.95,Average,2,2,18,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1017,8,2,AL-BAYAN,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,-1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,18.95,Average,50.66,Slightly Above Avg,5.53,Slightly Below Avg,4.13,Way Below Avg,7.7,Slightly Below Avg,19.28,Slightly Above Avg,10.66,Average,11.44,Slightly Above Avg,8.7,Slightly Above Avg,14.08,Slightly Above Avg,35.11,Way Above Avg,22.02,Slightly Below Avg,24.21,Average,29.12,Average,11.88,Slightly Below Avg,8.45,Slightly Below Avg,6.22,Way Below Avg,4.3,Way Below Avg,21.96,Average,24.14,Average,48.84,Average,5.04,Way Below Avg,8.96,Average,46.6,Average,1,1,21,,,,,,62.50%,Above Average,80.00%,Good,No
1020,8,2,AL-BAYAN,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,47.27,Slightly Above Avg,12.83,Slightly Below Avg,9.32,Average,8.29,Average,8.38,Average,12.46,Average,11.71,Average,7.92,Average,4.94,Slightly Below Avg,25.52,Slightly Above Avg,5.54,Average,21.96,Slightly Below Avg,24.29,Average,24.29,Average,15.21,Slightly Below Avg,7.46,Slightly Below Avg,15.86,Average,5.66,Way Below Avg,16.05,Slightly Below Avg,30.37,Average,46.04,Average,7.38,Slightly Below Avg,5.76,Slightly Below Avg,36.3,Average,1,2,22,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1022,9,3,AL-BAYAN,1,0,0,0,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,24.21,Slightly Above Avg,18.18,Average,12.72,Slightly Above Avg,6.25,Average,18.3,Slightly Above Avg,21.26,Way Above Avg,5.58,Average,5.39,Average,8.67,Slightly Above Avg,7,Average,5.52,Average,38.77,Slightly Above Avg,24.03,Average,23.06,Average,12.72,Slightly Below Avg,27.99,Slightly Above Avg,25.06,Average,7.5,Slightly Below Avg,16.86,Average,22.7,Average,27.55,Average,10.8,Average,9.06,Average,39.23,Slightly Above Avg,1,1,20,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1024,9,3,AL-BAYAN,1,-1,1,0,1,-1,1,-1,0,-1,0,0,1,0,1,-1,1,-1,0,-1,0,-1,0.5,-1,1,-1,1,0,1,-1,0,0,0,0,1,-1,1,-1,1,-1,0,0,1,0,1,-1,1,-1,67.21,Way Above Avg,24.76,Slightly Above Avg,20.12,Way Above Avg,14.69,Way Above Avg,49.68,Way Above Avg,15.35,Slightly Above Avg,14.22,Slightly Above Avg,19.07,Way Above Avg,19.38,Way Above Avg,14.53,Way Above Avg,15.06,Way Above Avg,77.02,Way Above Avg,58.04,Way Above Avg,29.99,Slightly Above Avg,59.99,Way Above Avg,19.24,Slightly Above Avg,38.32,Slightly Above Avg,40.41,Way Above Avg,57.88,Way Above Avg,79.83,Way Above Avg,52.66,Slightly Above Avg,12.04,Slightly Above Avg,16.87,Way Above Avg,71.99,Way Above Avg,2,1,0.5,,,,,,A,Good,B,Above Average,No
1025,8,3,AL-BAYAN,1,0,1,0,1,0,1,0,1,0,0,0,1,-1,1,0,1,0,1,0,1,0,0.5,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,-1,0,0,1,0,1,0,1,0,21.73,Slightly Above Avg,23.23,Slightly Above Avg,7.34,Average,11.35,Slightly Above Avg,14.66,Slightly Above Avg,14.29,Slightly Above Avg,15.1,Way Above Avg,6.88,Average,7.84,Slightly Above Avg,7.38,Average,7.32,Slightly Above Avg,11.86,Slightly Below Avg,10.09,Slightly Below Avg,21.06,Average,16.71,Average,8.88,Slightly Below Avg,2.72,Way Below Avg,3.11,Way Below Avg,26.14,Slightly Above Avg,72.46,Way Above Avg,35.16,Average,11.6,Slightly Above Avg,13.93,Slightly Above Avg,36.02,Average,1,2,20.5,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1026,12,3,AL-BAYAN,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,15.84,Average,8.14,Slightly Below Avg,5.31,Slightly Below Avg,5.66,Average,13.09,Slightly Above Avg,10.29,Slightly Above Avg,5.77,Average,2.51,Way Below Avg,4.87,Average,10.09,Slightly Above Avg,7.58,Slightly Above Avg,45.44,Slightly Above Avg,17.8,Average,15.69,Average,14.22,Average,4.84,Way Below Avg,12.45,Slightly Below Avg,12.85,Average,13.02,Slightly Below Avg,16.73,Average,14.71,Slightly Below Avg,8.27,Average,4.9,Way Below Avg,22.02,Average,1,1,23,No,No,No,No,No,70.00%,Average,88.24%,Good,No
