Question,Grade1_p10,Grade1_p30,Grade1_p70,Grade1_p90,Grade2_p10,Grade2_p30,Grade2_p70,Grade2_p90,Grade3_p10,Grade3_p30,Grade3_p70,Grade3_p90
Q1,13.378,21.307999999999996,64.25599999999999,183.13000000000005,10.312000000000001,15.596,44.655,116.73800000000003,8.212,10.79,21.311999999999998,53.62600000000002
Q2,11.382,17.994,39.75599999999999,71.02600000000002,9.433,14.1,35.70399999999999,59.772,7.574000000000001,10.492,18.736,32.06400000000001
Q3,6.668,9.416,15.324,42.65600000000007,4.923,6.67,11.665,23.998,4.018,5.376,9.132,14.282000000000004
Q4,5.654,8.112,13.884,25.752000000000002,4.711,6.333,10.610999999999999,16.543000000000003,3.82,5.387999999999999,8.94,13.276
Q5,6.223999999999999,10.059999999999997,25.726,40.786,5.357,7.829,18.581,36.477,4.03,5.416,12.239999999999998,20.964000000000002
Q6,5.428,7.4559999999999995,14.168,26.310000000000006,4.742,6.873,13.69,27.897000000000006,3.828,5.346,10.038,17.632000000000005
Q7,5.884,7.88,16.651999999999997,28.322000000000006,5.0249999999999995,7.149,12.148,22.349,3.962,5.294,8.389999999999999,14.938000000000008
Q8,4.896,6.42,11.302,23.758000000000013,4.171,5.853,9.576999999999998,16.457,3.1460000000000004,4.486000000000001,7.3,11.724000000000002
Q9,4.096,5.781999999999999,10.674,15.068000000000003,4.1610000000000005,5.45,8.488,15.323,3.172,4.284,6.754,10.488000000000001
Q10,4.408,6.468,14.809999999999999,30.026000000000035,4.371,6.599,13.514,27.900000000000002,3.66,4.78,8.635999999999994,13.246
Q11,4.376,5.7299999999999995,10.677999999999999,23.47800000000003,3.846,5.484,9.427999999999999,18.859,3.1860000000000004,4.18,6.9999999999999964,12.518
Q12,11.768,26.54,61.019999999999996,105.94000000000003,11.476,23.943,53.457,87.57799999999999,10.082,15.34,33.739999999999995,63.380000000000024
Q13,9.142,14.509999999999998,45.94199999999999,93.06200000000001,9.363,16.06,38.187,69.331,8.58,13.232000000000001,25.929999999999996,48.90800000000001
Q14,17.302,26.819999999999997,62.66799999999999,108.28800000000004,10.792,17.05,43.96599999999999,87.825,8.718,12.278,23.618,46.636
Q15,15.158,24.112,41.234,86.65600000000005,11.491000000000001,16.657,34.528,79.95000000000002,8.518,13.286,26.453999999999986,54.64
Q16,6.96,10.139999999999999,23.764,39.99000000000001,5.438,9.480999999999998,21.012,42.646000000000015,5.61,9.447999999999999,18.285999999999994,28.780000000000005
Q17,7.92,13.224,29.019999999999996,53.770000000000024,8.726,13.363,29.342,51.785000000000004,8.854000000000001,13.244,25.4,40.322
Q18,5.7780000000000005,9.482000000000001,21.787999999999997,50.37200000000001,6.481000000000001,9.909,23.195999999999998,47.213,5.886000000000001,9.611999999999998,19.648,35.21000000000001
Q19,15.45,26.363999999999997,59.21999999999999,111.90000000000002,13.969000000000001,20.236,39.15599999999999,68.01400000000001,10.7,14.508,25.489999999999995,41.06400000000001
Q20,17.392,26.642,58.876,103.19200000000001,13.334000000000001,19.543,36.794999999999995,59.97,10.644,14.872,24.681999999999995,42.59600000000001
Q21,18.938,33.529999999999994,79.10399999999998,157.48200000000003,18.52,26.741999999999997,62.467,112.14000000000001,13.002,18.464,38.205999999999996,82.07200000000006
Q22,6.492,12.236,19.745999999999995,34.486,6.0760000000000005,9.01,16.326999999999998,30.264000000000003,4.726,6.952,11.431999999999997,18.614000000000004
Q23,5.796,8.2,13.188,20.042000000000012,5.742,7.663,12.217,18.942000000000004,5.084,6.686,10.373999999999999,16.688000000000002
Q24,19.486,29.169999999999998,67.666,100.91,18.433,26.549999999999997,50.723,81.927,13.496,19.166,36.353999999999985,61.078
